,price,area,locality,bedroom_num,bathroom_num,balcony_num
264,98.0,460,Ghatkopar,1,2,0
265,162.0,800,Ghatkopar,2,2,0
266,160.0,700,Ghatkopar,2,2,0
267,351.0,859,Dadar,3,3,0
268,28.0,540,Virar,1,2,0
269,73.0,675,Kalyan,1,1,0
270,33.0,630,Kalyan,1,1,0
271,100.0,1345,Thakurli,3,3,0
272,66.0,685,Dombivali,1,1,0
273,94.0,980,Kalyan,2,2,0
274,70.0,670,Vashi,1,1,0
275,48.5,675,Dombivali,1,1,0
276,80.0,840,Dombivali,2,1,0
277,47.0,595,Dombivli,1,1,0
278,50.0,645,Dombivali,1,1,0
279,45.0,585,Dombivli,1,1,0
280,68.0,323,Kandivali,1,1,0
281,155.0,774,Vikhroli,3,3,0
282,198.0,950,Goregaon,2,2,0
283,41.5,650,Panvel,1,1,0
284,713.0,1400,Mahim,3,3,0
285,19.5,425,Taloja,1,1,0
286,92.0,1200,Ulwe,2,2,0
287,65.0,555,Kasaradavali Thane,1,2,0
288,530.0,1350,Parel,3,3,0
289,99.0,1020,Mira Road,2,2,0
290,68.0,850,Mira Road,1,2,0
291,85.0,595,Dahisar,1,2,0
292,294.0,1252,Dahisar,3,2,0
293,115.0,890,Dahisar,2,2,0
294,135.0,1850,Kharghar,3,3,0
295,285.0,1100,Dahisar,3,3,0
296,130.0,850,Dahisar,2,2,0
297,195.0,850,Dahisar,2,2,0
298,140.0,809,Dahisar,2,2,0
299,333.0,1180,Chembur,2,2,0
300,333.0,1180,Chembur,2,2,0
301,118.0,1800,Kharghar,3,3,0
302,139.0,1480,Dombivali,1,1,0
303,77.0,880,Dombivali,1,1,0
304,49.0,580,Dombivali,1,1,0
305,140.0,1415,Kharghar,3,3,0
306,145.0,666,Goregaon,2,2,0
307,160.0,757,Kurla,2,2,0
308,38.0,710,Ulwe,1,2,0
309,210.0,920,Chembur,2,2,0
310,72.0,863,Kalyan,2,2,0
311,53.0,646,Kalyan,1,2,0
312,116.0,620,Thane,2,2,0
313,100.0,620,Thane,2,2,0
314,600.0,1860,Andheri,3,4,0
315,530.0,1350,Parel,3,3,0
316,125.0,1000,Vashi,2,2,0
317,98.0,600,Chembur,1,2,0
318,144.0,1452,Mira Road,3,3,0
319,98.0,1060,Mira Road,1,2,0
320,166.3,621,Santacruz,2,2,0
321,60.0,675,Mira Road,1,2,0
322,29.0,490,Goregaon,1,1,0
323,76.0,800,Goregaon,2,2,0
324,64.0,675,Mira Road,1,2,0
325,90.0,995,Mira Road,2,2,0
326,121.0,1030,Mira Road,2,2,0
327,57.0,850,Mumbra,2,2,0
328,69.0,1050,Mumbra,2,2,0
329,295.0,772,Chembur,2,2,0
330,127.0,420,Jogeshwari,1,2,0
331,165.0,665,Dahisar,2,2,0
332,325.0,720,Worli,2,2,0
333,1687.5,1875,Lower Parel,4,4,0
334,280.0,1149,Borivali,3,3,0
335,105.0,551,Borivali,1,2,0
336,140.0,673,Borivali,2,2,0
337,135.0,673,Borivali,2,2,0
338,110.0,550,Borivali,1,2,0
339,138.0,676,Borivali,2,2,0
340,140.0,673,Borivali,2,2,0
341,135.0,673,Borivali,2,2,0
342,110.0,550,Borivali,1,2,0
343,138.0,676,Borivali,2,2,0
344,113.0,551,Borivali,1,2,0
345,280.0,1149,Borivali,3,3,0
346,470.0,1221,Chembur,3,3,0
347,145.0,718,Borivali,2,2,0
348,105.0,534,Borivali,1,2,0
349,72.0,600,Bhayandar,1,1,0
350,190.0,724,Borivali,2,2,0
351,200.0,750,Borivali,2,2,0
352,195.0,732,Borivali,2,2,0
353,182.0,822,Borivali,2,2,0
354,250.0,914,Borivali,2,2,0
355,258.0,1048,Borivali,3,3,0
356,294.0,1105,Borivali,3,3,0
357,300.0,1296,Borivali,3,3,0
358,78.0,440,Malad,1,1,0
359,75.0,440,Malad,1,2,0
360,77.0,440,Malad,1,1,0
361,103.0,507,Borivali,1,2,0
362,166.0,705,Borivali,2,2,0
363,185.0,812,Malad,2,2,0
364,91.0,481,Borivali,1,2,0
365,69.0,715,Mira Road,1,2,0
366,89.0,520,Kandivali,1,2,0
367,200.0,728,Goregaon,2,2,0
368,300.0,1015,Goregaon,3,3,0
369,124.0,850,Kalwa,2,2,0
370,68.0,680,Kalwa,1,2,0
371,136.0,1098,Kalwa,2,2,0
372,62.0,650,Kalwa,1,1,0
373,85.0,930,Kalwa,2,2,0
374,107.0,845,Thane,2,2,0
375,166.0,1175,Thane,3,3,0
376,130.0,1250,Kalwa,3,2,0
377,91.0,900,Mira Road,2,2,0
378,111.25,499,Andheri,1,2,0
379,77.0,675,Mira Road,1,2,0
380,127.0,420,Jogeshwari,1,2,0
381,165.0,665,Dahisar,2,2,0
382,325.0,720,Worli,2,2,0
383,1687.5,1875,Lower Parel,4,4,0
384,280.0,1149,Borivali,3,3,0
385,105.0,551,Borivali,1,2,0
386,140.0,673,Borivali,2,2,0
387,135.0,673,Borivali,2,2,0
388,110.0,550,Borivali,1,2,0
389,138.0,676,Borivali,2,2,0
390,113.0,551,Borivali,1,2,0
391,280.0,1149,Borivali,3,3,0
392,470.0,1221,Chembur,3,3,0
393,145.0,718,Borivali,2,2,0
394,105.0,534,Borivali,1,2,0
395,72.0,600,Bhayandar,1,1,0
396,190.0,724,Borivali,2,2,0
397,200.0,750,Borivali,2,2,0
398,195.0,732,Borivali,2,2,0
399,182.0,822,Borivali,2,2,0
400,294.0,1105,Borivali,3,3,0
401,300.0,1296,Borivali,3,3,0
402,78.0,440,Malad,1,1,0
403,75.0,440,Malad,1,2,0
404,80.0,503,Kandivali,1,2,0
405,90.0,507,Kandivali,1,2,0
406,59.0,352,Malad,1,2,0
407,61.0,398,Malad,1,2,0
408,77.0,440,Malad,1,1,0
409,103.0,507,Borivali,1,2,0
410,166.0,705,Borivali,2,2,0
411,185.0,812,Malad,2,2,0
412,91.0,481,Borivali,1,2,0
413,69.0,715,Mira Road,1,2,0
414,89.0,520,Kandivali,1,2,0
415,200.0,728,Goregaon,2,2,0
416,300.0,1015,Goregaon,3,3,0
417,124.0,850,Kalwa,2,2,0
418,68.0,680,Kalwa,1,2,0
419,136.0,1098,Kalwa,2,2,0
420,46.0,802,Taloja,2,2,0
421,33.0,605,Taloja,1,2,0
422,35.0,672,Taloje,1,2,0
423,51.0,520,Kalyan,1,1,0
424,58.0,790,Thane,2,2,0
425,55.0,933,Taloje,2,2,0
426,41.0,720,Taloja,1,1,0
427,35.0,720,Taloje,1,2,0
428,62.0,1020,Taloja,2,2,0
429,155.0,950,Malad,2,2,0
430,78.0,1110,Vasai,2,2,0
431,32.5,1000,Taloja,1,1,0
432,48.0,640,Dombivli,1,2,0
433,47.25,630,Dombivli,1,2,0
434,180.0,2075,Vasai,3,3,0
435,67.0,895,Dombivli,2,2,0
436,49.99,1000,Ambernath,2,1,0
437,75.0,980,Vasai,2,2,0
438,68.0,700,Mira Road,1,2,0
439,75.0,1160,Kalamboli,2,2,0
440,49.99,1000,Ambernath,2,1,0
441,75.0,980,Vasai,2,2,0
442,68.0,700,Mira Road,1,2,0
443,75.0,1160,Kalamboli,2,2,0
444,94.0,1105,Mira Road,2,2,0
445,63.36,770,Mira Road,1,2,0
446,25.0,455,Dombivali,1,1,0
447,95.0,1060,Mira Road,2,2,0
448,175.0,700,Mahim,1,2,0
449,61.0,275,Byculla,1,1,0
450,69.0,585,Kurla,1,2,0
451,290.0,2060,Airoli,3,3,0
452,75.0,610,Kurla,1,2,0
453,148.0,1050,Kurla,2,2,0
454,18.9,344,Dombivali,1,1,0
